BTG2	SESN1
ORM1	RPL36A
CYP3A4	RPL36A
CYP3A5	RPL36A
CYP3A7	RPL36A
CYP1A2	RPL36A
CYP2C9	RPL36A
CYP2D6	RPL36A
CYP2C19	RPL36A
PTGS1	RPL36A
BCR/ABL fusion	RPL36A
KIT	RPL36A
RET	RPL36A
NTRK1	RPL36A
CSF1R	RPL36A
PDGFRA	RPL36A
DDR1	RPL36A
ABL1	RPL36A
PDGFRB	RPL36A
RPL36A	SLC22A1
ABCB1	RPL36A
RPL36A	SLC22A2
ABCG2	RPL36A
ABCA3	RPL36A
DVL1L1	MYC
MYC	SARM1
CYP27B1	MYC
BID	BRCA1
BID	GTF2H1
BID	POLD4
BRCA1	ZBTB32
CDK4	RRM1
CDK6	RRM1
CETN2	RAD51
CETN2	TNFRSF10B
DNTT	SSBP1
EGFR	MDM2
EGFR	RRM1
ERCC1	POLD4
GTF2H1	RPL13A
CDK2	HIST1H2AE
HIST1H2AE	POLR2A
IGF1	SSBP1
IGFBP3	RRM1
KDR	POLD4
MAPK12	POLR2A
MDM2	POLM
NHP2	POLR2A
PARP1	POLR2A
PARP1	RPL13A
PARP1	RRM1
POLD4	POLR2A
POLE	RAD9A
POLR2A	RAD9A
POLR2A	UNG
POLR2A	XRCC2
RAD51	UNG
RBX1	RPL13A
RBX1	USP1
RPL13A	WRAP53
MT1X	SESN2
SSBP1	WRAP53
ATM	ZBTB32
HRAS	ODF3L1
KRAS	ODF3L1
NRAS	ODF3L1
HRAS	WBP11P1
KRAS	WBP11P1
NRAS	WBP11P1
CPNE1	HRAS
CPNE1	KRAS
CPNE1	NRAS
HRAS	LOC647145
KRAS	LOC647145
LOC647145	NRAS
FBXO28	HRAS
FBXO28	KRAS
FBXO28	NRAS
HRAS	MPDZ
KRAS	MPDZ
MPDZ	NRAS
HRAS	PDZK1
KRAS	PDZK1
NRAS	PDZK1
HRAS	NOL10
KRAS	NOL10
NOL10	NRAS
ALB	GPC5
GPC5	ORM1
CYP3A4	GPC5
CYP3A5	GPC5
CYP3A7	GPC5
CYP1A2	GPC5
CYP2C9	GPC5
CYP2D6	GPC5
CYP2C19	GPC5
GPC5	PTGS1
BCR/ABL fusion	GPC5
GPC5	KIT
GPC5	RET
GPC5	NTRK1
CSF1R	GPC5
GPC5	PDGFRA
DDR1	GPC5
ABL1	GPC5
GPC5	PDGFRB
GPC5	SLC22A1
ABCB1	GPC5
GPC5	SLC22A2
ABCG2	GPC5
ABCA3	GPC5
ALB	HIF3A
HIF3A	ORM1
CYP3A4	HIF3A
CYP3A5	HIF3A
CYP3A7	HIF3A
CYP1A2	HIF3A
CYP2C9	HIF3A
CYP2D6	HIF3A
CYP2C19	HIF3A
HIF3A	PTGS1
BCR/ABL fusion	HIF3A
HIF3A	KIT
HIF3A	RET
HIF3A	NTRK1
CSF1R	HIF3A
HIF3A	PDGFRA
DDR1	HIF3A
ABL1	HIF3A
HIF3A	PDGFRB
HIF3A	SLC22A1
ABCB1	HIF3A
HIF3A	SLC22A2
ABCG2	HIF3A
ABCA3	HIF3A
ALB	KCNJ13
KCNJ13	ORM1
CYP3A4	KCNJ13
CYP3A5	KCNJ13
CYP3A7	KCNJ13
CYP1A2	KCNJ13
CYP2C9	KCNJ13
CYP2D6	KCNJ13
CYP2C19	KCNJ13
KCNJ13	PTGS1
BCR/ABL fusion	KCNJ13
KCNJ13	KIT
KCNJ13	RET
KCNJ13	NTRK1
CSF1R	KCNJ13
KCNJ13	PDGFRA
DDR1	KCNJ13
ABL1	KCNJ13
KCNJ13	PDGFRB
KCNJ13	SLC22A1
ABCB1	KCNJ13
KCNJ13	SLC22A2
ABCG2	KCNJ13
ABCA3	KCNJ13
ALB	PRKCQ
ORM1	PRKCQ
CYP3A4	PRKCQ
CYP3A5	PRKCQ
CYP3A7	PRKCQ
CYP1A2	PRKCQ
CYP2C9	PRKCQ
CYP2D6	PRKCQ
CYP2C19	PRKCQ
PRKCQ	PTGS1
BCR/ABL fusion	PRKCQ
KIT	PRKCQ
PRKCQ	RET
NTRK1	PRKCQ
CSF1R	PRKCQ
PDGFRA	PRKCQ
DDR1	PRKCQ
ABL1	PRKCQ
PDGFRB	PRKCQ
PRKCQ	SLC22A1
ABCB1	PRKCQ
PRKCQ	SLC22A2
ABCG2	PRKCQ
ABCA3	PRKCQ
ALB	ZP3
ORM1	ZP3
CYP3A4	ZP3
CYP3A5	ZP3
CYP3A7	ZP3
CYP1A2	ZP3
CYP2C9	ZP3
CYP2D6	ZP3
CYP2C19	ZP3
PTGS1	ZP3
BCR/ABL fusion	ZP3
KIT	ZP3
RET	ZP3
NTRK1	ZP3
CSF1R	ZP3
PDGFRA	ZP3
DDR1	ZP3
ABL1	ZP3
PDGFRB	ZP3
SLC22A1	ZP3
ABCB1	ZP3
SLC22A2	ZP3
ABCG2	ZP3
ABCA3	ZP3
ALB	COL3A1
COL3A1	ORM1
COL3A1	CYP3A4
COL3A1	CYP3A5
COL3A1	CYP3A7
COL3A1	CYP1A2
COL3A1	CYP2C9
COL3A1	CYP2D6
COL3A1	CYP2C19
COL3A1	PTGS1
BCR/ABL fusion	COL3A1
COL3A1	KIT
COL3A1	RET
COL3A1	NTRK1
COL3A1	CSF1R
COL3A1	PDGFRA
COL3A1	DDR1
ABL1	COL3A1
COL3A1	PDGFRB
COL3A1	SLC22A1
ABCB1	COL3A1
COL3A1	SLC22A2
ABCG2	COL3A1
ABCA3	COL3A1
GPRC5B	MYC
HNRPAB	MYC
KCNC4	MYC
MYC	RGS22
MYC	RLF
MYC	THY1
MYC	ZNF177
CCL1	MYC
ADAT1	MYC
CUL3	MYC
BID	MDM2
BID	POLR2A
BRCA1	POLD4
BRCA1	POLM
BRCA1	UNG
CDK4	POLE
CDK6	MT1X
CDK6	POLR2A
CDK6	RAD51
CETN2	POLE
ATM	DNTT
ERCC1	POLD1
GTF2H1	MDM2
HIST1H2AE	SSBP1
HIST1H4A	RRM1
IGFBP3	RAD9A
IGFBP3	RPL13A
ERCC1	KDR
NHP2	POLM
NHP2	RAD51
NHP2	SSBP1
PMS2	POLR2A
POLD4	SSBP1
POLD4	UNG
POLE	RBX1
POLR2A	TNFRSF10B
RAD51	TNFRSF10B
RELA	TNFRSF10B
RPL13A	UNG
RPL13A	XRCC2
UNG	USP1
MT1X	WRAP53
RAD9A	ZBTB32
KRAS	PLK1
HRAS	PLK1
NRAS	PLK1
CDC45L	HRAS
CDC45L	KRAS
CDC45L	NRAS
HRAS	QARS
KRAS	QARS
NRAS	QARS
EIF3A	HRAS
EIF3A	KRAS
EIF3A	NRAS
HRAS	OR4C16
KRAS	OR4C16
NRAS	OR4C16
HRAS	MLL
KRAS	MLL
MLL	NRAS
ALB	IFI16
IFI16	ORM1
CYP3A4	IFI16
CYP3A5	IFI16
CYP3A7	IFI16
CYP1A2	IFI16
CYP2C9	IFI16
CYP2D6	IFI16
CYP2C19	IFI16
IFI16	PTGS1
BCR/ABL fusion	IFI16
IFI16	KIT
IFI16	RET
IFI16	NTRK1
CSF1R	IFI16
IFI16	PDGFRA
DDR1	IFI16
ABL1	IFI16
IFI16	PDGFRB
IFI16	SLC22A1
ABCB1	IFI16
IFI16	SLC22A2
ABCG2	IFI16
ABCA3	IFI16
ALB	IL27RA
IL27RA	ORM1
CYP3A4	IL27RA
CYP3A5	IL27RA
CYP3A7	IL27RA
CYP1A2	IL27RA
CYP2C9	IL27RA
CYP2D6	IL27RA
CYP2C19	IL27RA
IL27RA	PTGS1
BCR/ABL fusion	IL27RA
IL27RA	KIT
IL27RA	RET
IL27RA	NTRK1
CSF1R	IL27RA
IL27RA	PDGFRA
DDR1	IL27RA
ABL1	IL27RA
IL27RA	PDGFRB
IL27RA	SLC22A1
ABCB1	IL27RA
IL27RA	SLC22A2
ABCG2	IL27RA
ABCA3	IL27RA
ALB	IL4
IL4	ORM1
CYP3A4	IL4
CYP3A5	IL4
CYP3A7	IL4
CYP1A2	IL4
CYP2C9	IL4
CYP2D6	IL4
CYP2C19	IL4
IL4	PTGS1
BCR/ABL fusion	IL4
IL4	KIT
IL4	RET
IL4	NTRK1
CSF1R	IL4
IL4	PDGFRA
DDR1	IL4
ABL1	IL4
IL4	PDGFRB
IL4	SLC22A1
ABCB1	IL4
IL4	SLC22A2
ABCG2	IL4
ABCA3	IL4
ALB	ATF5
ATF5	ORM1
ATF5	CYP3A4
ATF5	CYP3A5
ATF5	CYP3A7
ATF5	CYP1A2
ATF5	CYP2C9
ATF5	CYP2D6
ATF5	CYP2C19
ATF5	PTGS1
ATF5	BCR/ABL fusion
ATF5	KIT
ATF5	RET
ATF5	NTRK1
ATF5	CSF1R
ATF5	PDGFRA
ATF5	DDR1
ABL1	ATF5
ATF5	PDGFRB
ATF5	SLC22A1
ABCB1	ATF5
ATF5	SLC22A2
ABCG2	ATF5
ABCA3	ATF5
ALB	CA5A
CA5A	ORM1
CA5A	CYP3A4
CA5A	CYP3A5
CA5A	CYP3A7
CA5A	CYP1A2
CA5A	CYP2C9
CA5A	CYP2D6
CA5A	CYP2C19
CA5A	PTGS1
BCR/ABL fusion	CA5A
CA5A	KIT
CA5A	RET
CA5A	NTRK1
CA5A	CSF1R
CA5A	PDGFRA
CA5A	DDR1
ABL1	CA5A
CA5A	PDGFRB
CA5A	SLC22A1
ABCB1	CA5A
CA5A	SLC22A2
ABCG2	CA5A
ABCA3	CA5A
ALB	CLTC
CLTC	ORM1
CLTC	CYP3A4
CLTC	CYP3A5
CLTC	CYP3A7
CLTC	CYP1A2
CLTC	CYP2C9
CLTC	CYP2D6
CLTC	CYP2C19
CLTC	PTGS1
BCR/ABL fusion	CLTC
CLTC	KIT
CLTC	RET
CLTC	NTRK1
CLTC	CSF1R
CLTC	PDGFRA
CLTC	DDR1
ABL1	CLTC
CLTC	PDGFRB
CLTC	SLC22A1
ABCB1	CLTC
CLTC	SLC22A2
ABCG2	CLTC
ABCA3	CLTC
GPX5	MYC
LMOD1	MYC
MDM2	MYC
MYC	P2RY14
MYC	PPP2R5E
MYC	PRND
MYC	PRPF8
C4orf8	MYC
ATM	BRCA2
BID	EGFR
BID	POLE
BID	RAD9A
BRCA1	CETN2
BRCA1	IGF1
BRCA1	POLE
CDK4	IGF1
CDK4	MDM2
CDK6	SSBP1
CETN2	EGFR
CETN2	MDM2
DNTT	MTOR
EGFR	RBX1
ERCC1	PPM1D
ERCC1	RAD9A
HIST1H2AE	PMS2
HIST1H2AE	WRAP53
HIST1H4A	MDM2
IGF1	POLE
IGFBP3	PPM1D
IGHMBP2	USP1
KDR	POLR2A
PARP2	RRM1
POLD1	USP1
POLD4	RRM1
POLE	TNFRSF10B
POLM	RRM1
POLM	TNFRSF10B
RPL13A	ZBTB32
RRM1	UNG
SSBP1	USP1
HRAS	TAOK1
KRAS	TAOK1
NRAS	TAOK1
HRAS	NR5A1
KRAS	NR5A1
NR5A1	NRAS
HRAS	UBE2D1
KRAS	UBE2D1
NRAS	UBE2D1
HRAS	PHF20
KRAS	PHF20
NRAS	PHF20
HRAS	MKI67
KRAS	MKI67
MKI67	NRAS
HRAS	PSMA5
NRAS	PSMA5
HRAS	HUWE1
HUWE1	KRAS
HUWE1	NRAS
A2M	HRAS
A2M	KRAS
A2M	NRAS
ANAPC4	HRAS
ANAPC4	NRAS
ALB	TJP1
ORM1	TJP1
CYP3A4	TJP1
CYP3A5	TJP1
CYP3A7	TJP1
CYP1A2	TJP1
CYP2C9	TJP1
CYP2D6	TJP1
CYP2C19	TJP1
PTGS1	TJP1
BCR/ABL fusion	TJP1
KIT	TJP1
RET	TJP1
NTRK1	TJP1
CSF1R	TJP1
PDGFRA	TJP1
DDR1	TJP1
ABL1	TJP1
PDGFRB	TJP1
SLC22A1	TJP1
ABCB1	TJP1
SLC22A2	TJP1
ABCG2	TJP1
ABCA3	TJP1
ALB	TROVE2
ORM1	TROVE2
CYP3A4	TROVE2
CYP3A5	TROVE2
CYP3A7	TROVE2
CYP1A2	TROVE2
CYP2C9	TROVE2
CYP2D6	TROVE2
CYP2C19	TROVE2
PTGS1	TROVE2
BCR/ABL fusion	TROVE2
KIT	TROVE2
RET	TROVE2
NTRK1	TROVE2
CSF1R	TROVE2
PDGFRA	TROVE2
DDR1	TROVE2
ABL1	TROVE2
PDGFRB	TROVE2
SLC22A1	TROVE2
ABCB1	TROVE2
SLC22A2	TROVE2
ABCG2	TROVE2
ABCA3	TROVE2
FHL2	MYC
GGA1	MYC
IFLTD1	MYC
ARL6	MYC
MYC	PCNT
MYC	VRK2
MYC	ZNF583
ATM	RRM1
BID	IGF1
BID	SSBP1
BRCA1	CDK4
BRCA1	GTF2H1
BRCA1	RBX1
BRCA1	RELA
CETN2	HIST1H2AE
CETN2	POLR2A
CETN2	SSBP1
EGFR	IGF1
EGFR	POLD4
ERCC1	MDM2
ERCC1	RRM1
GTF2H1	WRAP53
HIST1H2AE	POLM
HIST1H2AE	RPL13A
HIST1H2AE	ZBTB32
HIST1H4A	POLR2A
HIST1H4A	SSBP1
IGFBP3	SSBP1
ATM	KDR
KDR	MT1X
KDR	NHP2
MAPK12	RAD51
MDM2	NHP2
MDM2	PMS2
MDM2	POLD4
MDM2	RAD9A
MDM2	UNG
MDM2	USP1
MDM2	WRAP53
MTOR	POLR2A
NHP2	RAD9A
NHP2	RBX1
PARP2	RAD9A
ERCC1	PMS2
PMS2	RPL13A
PMS2	RRM1
POLD1	PPM1D
POLD1	RAD9A
POLD1	RBX1
POLD1	RRM1
POLE	RELA
POLE	UNG
POLE	WRAP53
POLM	RPL13A
PPM1D	RRM1
RAD23B	RAD51
RAD23B	TNFRSF10B
RBX1	SSBP1
RRM1	SESN2
RRM1	TNFRSF10B
ATM	SESN2
SESN2	SSBP1
CSE1L	HRAS
CSE1L	KRAS
CSE1L	NRAS
HRAS	UBE2O
KRAS	UBE2O
NRAS	UBE2O
HRAS	NARG1
KRAS	NARG1
NARG1	NRAS
ENPP5	HRAS
ENPP5	KRAS
ENPP5	NRAS
HRAS	SF3B14
KRAS	SF3B14
NRAS	SF3B14
ARID5A	HRAS
ARID5A	KRAS
ARID5A	NRAS
HRAS	RHBDL2
KRAS	RHBDL2
NRAS	RHBDL2
HRAS	POLG
KRAS	POLG
NRAS	POLG
HRAS	UBE2R2
KRAS	UBE2R2
NRAS	UBE2R2
ALB	FCN3
FCN3	ORM1
CYP3A4	FCN3
CYP3A5	FCN3
CYP3A7	FCN3
CYP1A2	FCN3
CYP2C9	FCN3
CYP2D6	FCN3
CYP2C19	FCN3
FCN3	PTGS1
BCR/ABL fusion	FCN3
FCN3	KIT
FCN3	RET
FCN3	NTRK1
CSF1R	FCN3
FCN3	PDGFRA
DDR1	FCN3
ABL1	FCN3
FCN3	PDGFRB
FCN3	SLC22A1
ABCB1	FCN3
FCN3	SLC22A2
ABCG2	FCN3
ABCA3	FCN3
ALB	RAG1AP1
ORM1	RAG1AP1
CYP3A4	RAG1AP1
CYP3A5	RAG1AP1
CYP3A7	RAG1AP1
CYP1A2	RAG1AP1
CYP2C9	RAG1AP1
CYP2D6	RAG1AP1
CYP2C19	RAG1AP1
PTGS1	RAG1AP1
BCR/ABL fusion	RAG1AP1
KIT	RAG1AP1
RAG1AP1	RET
NTRK1	RAG1AP1
CSF1R	RAG1AP1
PDGFRA	RAG1AP1
DDR1	RAG1AP1
ABL1	RAG1AP1
PDGFRB	RAG1AP1
RAG1AP1	SLC22A1
ABCB1	RAG1AP1
RAG1AP1	SLC22A2
ABCG2	RAG1AP1
ABCA3	RAG1AP1
ALB	TFAP2B
ORM1	TFAP2B
CYP3A4	TFAP2B
CYP3A5	TFAP2B
CYP3A7	TFAP2B
CYP1A2	TFAP2B
CYP2C9	TFAP2B
CYP2D6	TFAP2B
CYP2C19	TFAP2B
PTGS1	TFAP2B
BCR/ABL fusion	TFAP2B
KIT	TFAP2B
RET	TFAP2B
NTRK1	TFAP2B
CSF1R	TFAP2B
PDGFRA	TFAP2B
DDR1	TFAP2B
ABL1	TFAP2B
PDGFRB	TFAP2B
SLC22A1	TFAP2B
ABCB1	TFAP2B
SLC22A2	TFAP2B
ABCG2	TFAP2B
ABCA3	TFAP2B
ALB	CAMK2B
CAMK2B	ORM1
CAMK2B	CYP3A4
CAMK2B	CYP3A5
CAMK2B	CYP3A7
CAMK2B	CYP1A2
CAMK2B	CYP2C9
CAMK2B	CYP2D6
CAMK2B	CYP2C19
CAMK2B	PTGS1
BCR/ABL fusion	CAMK2B
CAMK2B	KIT
CAMK2B	RET
CAMK2B	NTRK1
CAMK2B	CSF1R
CAMK2B	PDGFRA
CAMK2B	DDR1
ABL1	CAMK2B
CAMK2B	PDGFRB
CAMK2B	SLC22A1
ABCB1	CAMK2B
CAMK2B	SLC22A2
ABCG2	CAMK2B
ABCA3	CAMK2B
ECE2	MYC
GNPNAT1	MYC
HMG14P	MYC
KEAP1	MYC
MEPE	MYC
MYC	PHF15
MYC	SRSF8
MYC	RBMXP1
MYC	RCAN3
MYC	RPL19P1
MYC	TRPC4
CSTF2	MYC
ATM	HIST1H2AE
BID	CETN2
BID	MTOR
BRCA1	NHP2
BRCA1	SESN2
CDK4	GTF2H1
CDK6	CETN2
CDK6	POLD4
CDK6	RBX1
DNTT	EGFR
DNTT	NHP2
EGFR	POLE
EGFR	POLR2A
HIST1H2AE	RELA
HIST1H4A	RAD51
IGF1	PPM1D
IGFBP3	MT1X
KDR	SSBP1
MDM2	ZBTB32
POLE	RAD51
POLE	SSBP1
POLM	PPM1D
POLR2A	RAD23B
PPM1D	RBX1
RAD23B	RRM1
RELA	USP1
RRM1	ZBTB32
SESN2	USP1
SSBP1	UNG
HRAS	NF2
KRAS	NF2
NF2	NRAS
HRAS	RRS1
KRAS	RRS1
NRAS	RRS1
HRAS	UBA1
KRAS	UBA1
NRAS	UBA1
HRAS	UBE2M
KRAS	UBE2M
NRAS	UBE2M
HRAS	STAT1
KRAS	STAT1
NRAS	STAT1
CCT3	HRAS
CCT3	KRAS
CCT3	NRAS
ALB	RPL21
ORM1	RPL21
CYP3A4	RPL21
CYP3A5	RPL21
CYP3A7	RPL21
CYP1A2	RPL21
CYP2C9	RPL21
CYP2D6	RPL21
CYP2C19	RPL21
PTGS1	RPL21
BCR/ABL fusion	RPL21
KIT	RPL21
RET	RPL21
NTRK1	RPL21
CSF1R	RPL21
PDGFRA	RPL21
DDR1	RPL21
ABL1	RPL21
PDGFRB	RPL21
RPL21	SLC22A1
ABCB1	RPL21
RPL21	SLC22A2
ABCG2	RPL21
ABCA3	RPL21
ECD	MYC
FAAH	MYC
FGD6	MYC
MYC	OR52B6
MYC	SPINK5L2
MYC	SUMO3
MYC	ZNF228
COPS4	MYC
ATM	POLM
ATM	SSBP1
BID	CDK6
BID	HIST1H2AE
BID	HIST1H4A
BID	POLD1
BID	POLM
CDK2	POLR2A
CDK2	SSBP1
CDK4	CETN2
CDK4	MAPK12
CDK4	POLM
CDK6	WRAP53
CETN2	WRAP53
DNTT	HIST1H2AE
DNTT	IGF1
DNTT	MDM2
DNTT	POLD4
DNTT	RAD9A
DNTT	SESN2
DNTT	WRAP53
EGFR	GTF2H1
EGFR	HIST1H4A
EGFR	NHP2
EGFR	PMS2
EGFR	UNG
ERCC1	MAPK12
ERCC1	MTOR
ERCC1	RAD51
GTF2H1	HIST1H2AE
GTF2H1	PARP1
GTF2H1	PMS2
GTF2H1	POLE
GTF2H1	RBX1
GTF2H1	SESN2
GTF2H1	ZBTB32
HIST1H2AE	MDM2
HIST1H2AE	NHP2
HIST1H2AE	PPM1D
HIST1H2AE	RAD23B
HIST1H4A	POLE
HIST1H4A	RBX1
IGF1	PARP1
IGF1	RAD9A
IGFBP3	SESN2
IGHMBP2	MTOR
IGHMBP2	RAD9A
IGHMBP2	RRM1
KDR	PMS2
KDR	POLM
KDR	RAD23B
MAPK12	PMS2
MAPK12	SSBP1
MDM2	MTOR
MT1X	SSBP1
MTOR	RRM1
MTOR	SSBP1
PARP1	POLM
PARP1	RBX1
PARP2	RAD51
PMS2	POLD4
PMS2	RAD51
PMS2	SSBP1
POLD1	POLD4
POLD1	SESN2
POLD1	SSBP1
POLD1	TNFRSF10B
POLD1	WRAP53
POLD4	POLE
POLD4	PPM1D
PARP2	POLE
POLE	POLM
POLE	PPM1D
POLE	ZBTB32
CETN2	POLM
POLM	RAD9A
POLM	SESN2
POLM	WRAP53
POLR2A	PPM1D
PPM1D	SSBP1
PPM1D	UNG
PPM1D	WRAP53
RAD23B	SSBP1
RAD9A	RRM1
RELA	SESN2
RELA	SSBP1
SSBP1	TNFRSF10B
SSBP1	ZBTB32
TNFRSF10B	USP1
CDK6	UNG
UNG	ZBTB32
USP1	ZBTB32
MT1X	XRCC2
KDR	ZBTB32
CDKL3	HRAS
CDKL3	KRAS
CDKL3	NRAS
GATA6	HRAS
GATA6	KRAS
GATA6	NRAS
HRAS	KCNH7
KCNH7	KRAS
KCNH7	NRAS
HRAS	SEH1L
KRAS	SEH1L
NRAS	SEH1L
HRAS	RRM1
KRAS	RRM1
NRAS	RRM1
ARPC3	HRAS
ARPC3	KRAS
ARPC3	NRAS
HRAS	RBM8A
KRAS	RBM8A
NRAS	RBM8A
FAM105B	MYC
IL10RB	MYC
KATNAL2	MYC
KCTD3	MYC
KRT27	MYC
LYZL4	MYC
MYC	NMD3
MYC	PEA15
MYC	RPL10A
MYC	SFMBT2
MYC	UBE2L6
MYC	YBX2
C14orf124	MYC
ACP6	MYC
CDH1	MYC
COL4A3	MYC
CRP	MYC
ATM	MDM2
ATM	RAD23B
ATM	RAD51
BID	IGFBP3
BID	NHP2
BID	RBX1
BID	RRM1
BID	UNG
BRCA1	CDK2
BRCA1	ERCC1
CDK2	USP1
CDK6	GTF2H1
CDK6	MAPK12
CDK6	MTOR
CDK6	POLE
CETN2	IGF1
CETN2	POLD4
DNTT	ERCC1
DNTT	GTF2H1
DNTT	RRM1
ERCC1	GTF2H1
ERCC1	POLR2A
ERCC1	RBX1
GTF2H1	NHP2
GTF2H1	UNG
HIST1H2AE	HIST1H4A
HIST1H2AE	MT1X
HIST1H2AE	POLD4
HIST1H2AE	RAD9A
CDK6	HIST1H4A
IGF1	RRM1
IGF1	WRAP53
IGHMBP2	POLD4
MT1X	RRM1
MT1X	USP1
PARP1	PMS2
GTF2H1	PARP2
PMS2	RAD9A
POLD1	UNG
POLD4	SESN2
POLD4	TNFRSF10B
POLD4	USP1
PPM1D	USP1
RAD23B	WRAP53
RAD9A	TNFRSF10B
RAD9A	WRAP53
MT1X	RELA
RELA	UNG
ATM	TNFRSF10B
TNFRSF10B	XRCC2
FANCC	HRAS
FANCC	KRAS
FANCC	NRAS
CDCA8	HRAS
CDCA8	NRAS
ALB	UTP14A
ORM1	UTP14A
CYP3A4	UTP14A
CYP3A5	UTP14A
CYP3A7	UTP14A
CYP1A2	UTP14A
CYP2C9	UTP14A
CYP2D6	UTP14A
CYP2C19	UTP14A
PTGS1	UTP14A
BCR/ABL fusion	UTP14A
KIT	UTP14A
RET	UTP14A
NTRK1	UTP14A
CSF1R	UTP14A
PDGFRA	UTP14A
DDR1	UTP14A
ABL1	UTP14A
PDGFRB	UTP14A
SLC22A1	UTP14A
ABCB1	UTP14A
SLC22A2	UTP14A
ABCG2	UTP14A
ABCA3	UTP14A
GC	MYC
GEFT	MYC
LAMA2	MYC
LYPD5	MYC
MCTP1	MYC
MYC	PPP2R4
MYC	RANBP9
ABCC8	MYC
MYC	SLC11A2
MYC	SLC7A5
MYC	SNX4
MYC	SPINK2
MYC	TRAM2
MYC	TTLL6
MYC	TUT1
MYC	ZAK
C1orf27	MYC
C3ORF51	MYC
CACNA1G	MYC
CHST14	MYC
DTD1	MYC
ATM	BID
ATM	CDK4
ATM	EGFR
ATM	RAD9A
ATM	WRAP53
BID	ERCC1
BID	SESN2
BRCA1	HIST1H4A
BRCA1	TNFRSF10B
BRCA1	WRAP53
CDK4	NHP2
CDK4	POLD1
CDK4	RAD23B
CDK4	RELA
CDK6	ERCC1
CDK6	HIST1H2AE
CDK6	NHP2
CDK6	RAD23B
CETN2	RBX1
CETN2	RPL13A
DNTT	RAD51
DNTT	RBX1
DNTT	RELA
DNTT	ZBTB32
EGFR	HIST1H2AE
EGFR	RELA
EGFR	WRAP53
EGFR	ZBTB32
ERCC1	HIST1H4A
ERCC1	PARP1
GTF2H1	POLD1
GTF2H1	RAD23B
GTF2H1	USP1
HIST1H2AE	KDR
HIST1H4A	IGF1
HIST1H4A	MT1X
IGF1	POLD1
IGF1	RAD23B
IGFBP3	MDM2
IGFBP3	NHP2
IGFBP3	POLD4
IGHMBP2	RAD51
IGHMBP2	SSBP1
KDR	RBX1
KDR	RELA
MDM2	PARP2
MTOR	POLE
MTOR	PPM1D
MTOR	RPL13A
MTOR	WRAP53
NHP2	POLD1
PARP1	USP1
PARP2	POLD4
MTOR	PMS2
PMS2	RBX1
POLM	RAD23B
POLM	RBX1
PPM1D	RAD9A
PPM1D	ZBTB32
RAD9A	RBX1
RAD9A	RPL13A
RAD9A	USP1
RBX1	XRCC2
RELA	XRCC2
SSBP1	XRCC2
MT1X	TNFRSF10B
CDK4	UNG
HRAS	NEK1
KRAS	NEK1
NEK1	NRAS
EIF4E2	MYC
IRF9	MYC
LRRTM4	MYC
MYC	OR4C3
MYC	PHF1
ATP5O	MYC
MYC	SKAP1
MYC	SLC25A37
MYC	SRA1
MYC	TGM5
MYC	TOLLIP
MYC	TRAPPC5
MYC	VANGL1
C12orf43	MYC
CG030	MYC
CYP2D6	MYC
RB1	TP53
ATM	HIST1H4A
ATM	POLE
ATM	RPL13A
BID	PARP1
BRCA1	IGFBP3
BRCA1	KDR
BRCA1	RAD9A
CDK2	DNTT
CDK2	GTF2H1
CDK2	MT1X
CDK2	NHP2
CDK2	RPL13A
CDK4	EGFR
CDK4	POLD4
CDK4	TNFRSF10B
CETN2	IGFBP3
CETN2	NHP2
CDK4	DNTT
DNTT	POLD1
DNTT	POLE
DNTT	PPM1D
ERCC1	RAD23B
ERCC1	WRAP53
GTF2H1	POLD4
GTF2H1	POLR2A
GTF2H1	TNFRSF10B
HIST1H2AE	MAPK12
HIST1H2AE	MTOR
HIST1H2AE	TNFRSF10B
HIST1H2AE	UNG
HIST1H4A	POLD1
HIST1H4A	RAD23B
HIST1H4A	WRAP53
IGF1	MT1X
HIST1H4A	IGFBP3
IGFBP3	PMS2
CDK6	IGHMBP2
IGHMBP2	MT1X
IGHMBP2	POLR2A
KDR	MTOR
KDR	PPM1D
MDM2	PARP1
MDM2	PPM1D
MDM2	RELA
MTOR	POLD1
MTOR	POLD4
MTOR	RBX1
NHP2	PARP1
NHP2	PMS2
NHP2	POLD4
NHP2	RAD23B
PARP2	USP1
ATM	PMS2
POLD1	RAD23B
POLE	XRCC2
IGHMBP2	POLM
RAD9A	SESN2
RPL13A	TNFRSF10B
SESN2	UNG
SESN2	WRAP53
MAPK12	UNG
PMS2	UNG
PARP2	WRAP53
HRAS	RGP1
KRAS	RGP1
NRAS	RGP1
HRAS	NUP93
KRAS	NUP93
NRAS	NUP93
CYP3A4	PPP3CA
CYP3A5	PPP3CA
CYP3A7	PPP3CA
CYP2C9	PPP3CA
ABCB1	PPP3CA
ABCG2	PPP3CA
FBXO9	MYC
GNA14	MYC
HOXA1	MYC
IL1RN	MYC
JARID1D	MYC
MAFK	MYC
MAPKAPK5	MYC
MORF4L2	MYC
MYC	NACA
MYC	NCOR1
MYC	OSM
MYC	PTK2
MYC	RABGGTB
MYC	RB1CC1
MYC	RING1
MYC	SCCPDH
MYC	SCN3B
MYC	SPATA21
MYC	SYT16
MYC	TBL1X
MYC	TRIM44
MYC	TRMU
MYC	TTC28
C10orf111	MYC
MYC	ZNF592
C15orf55	MYC
C1orf54	MYC
